fpr_target,AUROC_defect_screening_mean,AUROC_defect_screening_std,TPR_defect@FPR_mean,TPR_defect@FPR_std,TPR_unknown@FPR_mean,TPR_unknown@FPR_std,FPR_known_as_def@FPR_mean,FPR_known_as_def@FPR_std,FPR_normal_realized_mean,FPR_normal_realized_std,two_stage_known_success_mean,two_stage_known_success_std,two_stage_unknown_success_mean,two_stage_unknown_success_std,stage2_unknown_rate_known_all_mean,stage2_unknown_rate_known_all_std,stage2_unknown_rate_unknown_all_mean,stage2_unknown_rate_unknown_all_std
0.05,0.5330008429243088,0.049220753179512196,0.3450787616876557,0.1414709338870475,0.35282407407407407,0.358793428901326,0.3208163151752845,0.10465447845247143,0.255,0.1000925497652973,0.28399573819205504,0.0988877422506755,0.031157407407407408,0.04200735205754042,0.12109234017468298,0.04724025253303807,0.20078703703703704,0.1694727005381964
0.1,0.5330008429243088,0.049220753179512196,0.431944837968206,0.1557927364327218,0.4073611111111111,0.37500216048760354,0.42043991061331537,0.1348469896305564,0.38,0.13316656236958785,0.3610386690647482,0.10846985159119077,0.04532407407407407,0.04758583681694873,0.12109234017468298,0.04724025253303807,0.20078703703703704,0.1694727005381964
0.15,0.5330008429243088,0.049220753179512196,0.5201971884174545,0.16123128181779045,0.48055555555555557,0.3834653556872455,0.5242214756622795,0.11207122186036506,0.5116666666666666,0.12816366850994054,0.443705035971223,0.09725153563454295,0.06180555555555556,0.05831547345640301,0.12109234017468298,0.04724025253303807,0.20078703703703704,0.1694727005381964
0.2,0.5330008429243088,0.049220753179512196,0.5730382403904368,0.14589497950458058,0.5340277777777778,0.35477442407156223,0.5809172060345035,0.11761830368631866,0.5866666666666667,0.11563031769553504,0.4854742126031616,0.11127980892997795,0.07462962962962963,0.06537115727152022,0.12109234017468298,0.04724025253303807,0.20078703703703704,0.1694727005381964
