method_system,split,fpr_target,AUROC_defect_screening,AUPRC_defect_screening,TPR_defect@FPR,TPR_unknown@FPR,FPR_known_as_unknown@FPR,FPR_normal_realized,Specificity_normal,FalseAlarms_per_100,acc_3way,balanced_acc_3way,macro_f1_3way,train_sec,infer_sec_per_image,total_split_sec
one_stage_global_mahalanobis,split_a,0.05,0.5972154600490811,0.6882259541024827,0.0791575889615105,0.0426356589147286,0.0371660859465737,0.0349887133182844,0.9650112866817157,3.4988713318284423,0.4114007954043305,0.3567882385437624,0.2531774825643179,739.0542502403259,0.0115930425135687,905.0837609767914
one_stage_global_mahalanobis,split_a,0.1,0.5972154600490811,0.6882259541024827,0.1270878721859114,0.1065891472868217,0.0673635307781649,0.0812641083521444,0.9187358916478556,8.126410835214447,0.410075121520106,0.3646166699662241,0.2848220489871808,739.0542502403259,0.0115930425135687,905.0894958972932
one_stage_global_mahalanobis,split_a,0.15,0.5972154600490811,0.6882259541024827,0.1938997821350762,0.1841085271317829,0.1080139372822299,0.1376975169300225,0.8623024830699775,13.769751693002258,0.4114007954043305,0.3766782345271838,0.3197009241270479,739.0542502403259,0.0115930425135687,905.0950293540956
one_stage_global_mahalanobis,split_a,0.2,0.5972154600490811,0.6882259541024827,0.2628903413217138,0.251937984496124,0.1335656213704994,0.1873589164785553,0.8126410835214447,18.735891647855528,0.4215642951833849,0.3951229491146444,0.3576275068814103,739.0542502403259,0.0115930425135687,905.1007359027864
one_stage_global_mahalanobis,split_b,0.05,0.6131587804857056,0.8995407251681167,0.137066024483243,0.1204034461021223,0.0758928571428571,0.0530474040632054,0.9469525959367946,5.304740406320542,0.2468904413017549,0.4108448711558294,0.2320161935854169,184.25965213775635,0.0105460429439391,370.7253863811493
one_stage_global_mahalanobis,split_b,0.1,0.6131587804857056,0.8995407251681167,0.2303833032309853,0.1952090775372977,0.1071428571428571,0.1117381489841986,0.8882618510158014,11.173814898419865,0.3024365309252002,0.4489545952319854,0.2796151660530745,184.25965213775635,0.0105460429439391,370.7487804889679
one_stage_global_mahalanobis,split_b,0.15,0.6131587804857056,0.8995407251681167,0.300421432871764,0.2433284303425089,0.1383928571428571,0.1613995485327314,0.8386004514672686,16.13995485327314,0.3356619526324757,0.4633215320318306,0.2947790360671893,184.25965213775635,0.0105460429439391,370.76770973205566
one_stage_global_mahalanobis,split_b,0.2,0.6131587804857056,0.8995407251681167,0.3608268111579369,0.2782097079218323,0.1428571428571428,0.2065462753950338,0.7934537246049661,20.654627539503387,0.3583233941046175,0.4703163822708376,0.3021932072089961,184.25965213775635,0.0105460429439391,370.7780973911285
one_stage_global_mahalanobis,split_c,0.05,0.8005395933523081,0.8614319902127054,0.4465579710144927,0.0666666666666666,0.1276127612761276,0.0485327313769751,0.9514672686230248,4.853273137697517,0.6025125628140704,0.4651572230210229,0.4406787766125827,433.793839931488,0.0113296796329057,595.1493294239044
one_stage_global_mahalanobis,split_c,0.1,0.8005395933523081,0.8614319902127054,0.5778985507246377,0.0769230769230769,0.1375137513751375,0.1038374717832957,0.8961625282167043,10.383747178329571,0.6381909547738693,0.493412106737096,0.4815367724296202,433.793839931488,0.0113296796329057,595.155021905899
one_stage_global_mahalanobis,split_c,0.15,0.8005395933523081,0.8614319902127054,0.6186594202898551,0.0769230769230769,0.1408140814081408,0.1388261851015801,0.8611738148984198,13.882618510158013,0.6396984924623116,0.4942171157556804,0.4852421521496555,433.793839931488,0.0113296796329057,595.1605217456818
