method_system,split,fpr_target,AUROC_defect_screening,AUPRC_defect_screening,TPR_defect@FPR,TPR_unknown@FPR,FPR_known_as_unknown@FPR,FPR_normal_realized,Specificity_normal,FalseAlarms_per_100,acc_3way,balanced_acc_3way,macro_precision_3way,macro_recall_3way,macro_f1_3way,cm_3way,train_sec,infer_sec_total_test,infer_sec_per_image,total_split_sec,notes
one_stage_global_mahalanobis,split_a,0.05,0.5972154600490811,0.6882259541024827,0.07915758896151052,0.04263565891472868,0.03716608594657375,0.034988713318284424,0.9650112866817155,3.4988713318284423,0.41140079540433055,0.35678823854376246,0.47934878906481915,0.35678823854376246,0.2531774825643179,"[[855, 31, 0], [775, 54, 32], [493, 1, 22]]",739.0542502403259,26.235055208206177,0.011593042513568793,905.0837609767914,unknown_known_fpr_target=0.15
one_stage_global_mahalanobis,split_a,0.1,0.5972154600490811,0.6882259541024827,0.1270878721859114,0.1065891472868217,0.06736353077816493,0.08126410835214447,0.9187358916478555,8.126410835214447,0.41007512152010606,0.36461666996622416,0.4435980041497807,0.36461666996622416,0.28482204898718083,"[[814, 72, 0], [744, 59, 58], [458, 3, 55]]",739.0542502403259,26.235055208206177,0.011593042513568793,905.0894958972931,unknown_known_fpr_target=0.15
one_stage_global_mahalanobis,split_a,0.15,0.5972154600490811,0.6882259541024827,0.19389978213507625,0.18410852713178294,0.10801393728222997,0.13769751693002258,0.8623024830699775,13.769751693002258,0.41140079540433055,0.3766782345271838,0.4237374007819166,0.3766782345271838,0.3197009241270479,"[[764, 122, 0], [696, 72, 93], [414, 7, 95]]",739.0542502403259,26.235055208206177,0.011593042513568793,905.0950293540955,unknown_known_fpr_target=0.15
one_stage_global_mahalanobis,split_a,0.2,0.5972154600490811,0.6882259541024827,0.26289034132171385,0.25193798449612403,0.13356562137049943,0.1873589164785553,0.8126410835214447,18.735891647855528,0.4215642951833849,0.39512294911464446,0.4376963339179319,0.39512294911464446,0.3576275068814103,"[[720, 166, 0], [642, 104, 115], [373, 13, 130]]",739.0542502403259,26.235055208206177,0.011593042513568793,905.1007359027863,unknown_known_fpr_target=0.15
one_stage_global_mahalanobis,split_b,0.05,0.6131587804857056,0.8995407251681167,0.13706602448324304,0.1204034461021223,0.07589285714285714,0.05304740406320542,0.9469525959367946,5.304740406320542,0.24689044130175497,0.41084487115582946,0.46624449661791223,0.41084487115582946,0.23201619358541695,"[[839, 47, 0], [170, 37, 17], [4130, 56, 573]]",184.25965213775635,61.894726037979126,0.010546042943939193,370.7253863811493,unknown_known_fpr_target=0.15
one_stage_global_mahalanobis,split_b,0.1,0.6131587804857056,0.8995407251681167,0.23038330323098535,0.19520907753729774,0.10714285714285714,0.11173814898419865,0.8882618510158014,11.173814898419865,0.30243653092520023,0.4489545952319854,0.44858975024294007,0.4489545952319854,0.27961516605307457,"[[787, 99, 0], [141, 59, 24], [3694, 136, 929]]",184.25965213775635,61.894726037979126,0.010546042943939193,370.7487804889679,unknown_known_fpr_target=0.15
one_stage_global_mahalanobis,split_b,0.15,0.6131587804857056,0.8995407251681167,0.300421432871764,0.24332843034250892,0.13839285714285715,0.1613995485327314,0.8386004514672686,16.13995485327314,0.3356619526324757,0.46332153203183063,0.4342042237665016,0.46332153203183063,0.2947790360671893,"[[743, 143, 0], [124, 69, 31], [3362, 239, 1158]]",184.25965213775635,61.894726037979126,0.010546042943939193,370.76770973205566,unknown_known_fpr_target=0.15
one_stage_global_mahalanobis,split_b,0.2,0.6131587804857056,0.8995407251681167,0.36082681115793697,0.2782097079218323,0.14285714285714285,0.20654627539503387,0.7934537246049661,20.654627539503387,0.3583233941046175,0.4703163822708376,0.426271312380883,0.4703163822708376,0.3021932072089961,"[[703, 183, 0], [116, 76, 32], [3069, 366, 1324]]",184.25965213775635,61.894726037979126,0.010546042943939193,370.77809739112854,unknown_known_fpr_target=0.15
one_stage_global_mahalanobis,split_c,0.05,0.8005395933523081,0.8614319902127054,0.44655797101449274,0.06666666666666667,0.1276127612761276,0.04853273137697517,0.9514672686230248,4.853273137697517,0.6025125628140704,0.46515722302102297,0.5077689846731144,0.46515722302102297,0.44067877661258276,"[[843, 43, 0], [450, 343, 116], [161, 21, 13]]",433.79383993148804,22.546062469482422,0.01132967963290574,595.1493294239044,unknown_known_fpr_target=0.15
one_stage_global_mahalanobis,split_c,0.1,0.8005395933523081,0.8614319902127054,0.5778985507246377,0.07692307692307693,0.13751375137513752,0.1038374717832957,0.8961625282167043,10.383747178329571,0.6381909547738693,0.49341210673709607,0.5062191731683258,0.49341210673709607,0.48153677242962023,"[[794, 92, 0], [323, 461, 125], [143, 37, 15]]",433.79383993148804,22.546062469482422,0.01132967963290574,595.155021905899,unknown_known_fpr_target=0.15
